specific_capacity,voltage,direction
395.2201769,1.7013397,charge
395.6884436,1.7014314,charge
396.156697,1.7015306,charge
396.6249501,1.7016604,charge
397.0932019,1.7017865,charge
397.5614622,1.7017407,charge
398.0297295,1.7017139,charge
398.4979952,1.7017827,charge
398.966262,1.7019697,charge
399.4345327,1.7019813,charge
399.9027945,1.7021416,charge
400.3710534,1.7021952,charge
400.8393194,1.7022562,charge
401.3075741,1.7021569,charge
401.7758336,1.7023822,charge
402.2440901,1.702451,charge
402.7123511,1.7025045,charge
403.1806109,1.7026153,charge
403.6488734,1.7026687,charge
404.1171468,1.7027947,charge
404.5854151,1.7028711,charge
405.053685,1.7028406,charge
405.5219504,1.7029628,charge
405.9902186,1.7029513,charge
406.4584871,1.7031384,charge
406.9267615,1.7031727,charge
407.3950301,1.7032988,charge
407.8633048,1.7032262,charge
408.3315648,1.7033522,charge
408.7998217,1.7034402,charge
409.2680824,1.7034974,charge
409.73634,1.7035737,charge
410.2045871,1.7036959,charge
410.6728304,1.7036998,charge
411.1410769,1.7038372,charge
411.6093266,1.7039442,charge
412.0775861,1.7039365,charge
412.5458501,1.7039824,charge
413.0141093,1.7040626,charge
413.4823662,1.7041389,charge
413.9506231,1.7042115,charge
414.4188741,1.7042612,charge
414.8871255,1.7042688,charge
415.355382,1.7043986,charge
415.8236388,1.704433,charge
416.2918896,1.7044712,charge
416.760143,1.7045437,charge
417.2283934,1.7047042,charge
417.6966521,1.704834,charge
418.1649139,1.704792,charge
418.6331721,1.7049028,charge
419.1014299,1.7049943,charge
419.5696896,1.705025,charge
420.0379514,1.7051548,charge
420.5062037,1.7051624,charge
420.9744526,1.7051356,charge
421.4426992,1.7052579,charge
421.9109518,1.7054106,charge
422.3792016,1.7054373,charge
422.8474533,1.7054832,charge
423.3157058,1.7055711,charge
423.7839591,1.7054718,charge
424.2522093,1.7057352,charge
424.7204521,1.7057161,charge
425.1886931,1.7058269,charge
425.6569293,1.7058918,charge
426.1251654,1.705972,charge
426.5934055,1.7059605,charge
427.0616638,1.7061477,charge
427.5299226,1.70614,charge
427.9981797,1.7062699,charge
428.4664342,1.7063156,charge
428.9346881,1.7063539,charge
429.4029469,1.7065066,charge
429.8711998,1.7064799,charge
430.339454,1.7065257,charge
430.8077174,1.7066441,charge
431.2759833,1.706816,charge
431.7442445,1.7068388,charge
432.212498,1.7068503,charge
432.68075,1.7069153,charge
433.1490031,1.7069458,charge
433.6172533,1.7071253,charge
434.0855049,1.7071023,charge
434.5537588,1.7070565,charge
435.0220158,1.7072399,charge
435.4902698,1.7073123,charge
435.9585198,1.7073085,charge
436.4267718,1.7073697,charge
436.8950127,1.7074842,charge
437.3632513,1.7075301,charge
437.8315013,1.7076294,charge
438.2997528,1.7076981,charge
438.7680035,1.7077439,charge
